"Country";"Frequency Range";"Allocations";"Applications"
"- United States -";"8.3 - 9 kHz";"Meteorological Aids";""
"- United States -";"9 - 11.3 kHz";"Meteorological Aids/Radionavigation";""
"- United States -";"11.3 - 14 kHz";"Radionavigation";""
"- United States -";"14 - 19.95 kHz";"Fixed/Maritime Mobile/Fixed";""
"- United States -";"19.95 - 20.05 kHz";"Standard Frequency and Time Signal (20 kHz)";""
"- United States -";"20.05 - 59 kHz";"Fixed/Maritime Mobile/Fixed";""
"- United States -";"59 - 61 kHz";"Standard Frequency and Time Signal (60 kHz)";""
"- United States -";"61 - 70 kHz";"Fixed/Maritime Mobile/Fixed";""
"- United States -";"70 - 90 kHz";"Fixed/Maritime Mobile/Radiolocation/Fixed/Radiolocation";"Private Land Mobile"
"- United States -";"90 - 110 kHz";"Radionavigation";"Aviation/Private Land Mobile"
"- United States -";"110 - 130 kHz";"Fixed/Maritime Mobile/Radiolocation";"Private Land Mobile"
"- United States -";"130 - 135.7 kHz";"Fixed/Maritime Mobile";"Maritime"
"- United States -";"135.7 - 137.8 kHz";"Fixed/Maritime Mobile/Amateur (General,Extra, data,phone)";"Amateur Radio"
"- United States -";"137.8 - 160 kHz";"Fixed/Maritime Mobile";"Maritime"
"- United States -";"160 - 190 kHz";"Fixed/Maritime Mobile/Fixed";""
"- United States -";"190 - 200 kHz";"Aeronautical Radionavigation";"Aviation"
"- United States -";"200 - 275 kHz";"Aeronautical Radionavigation/Aeronautical Mobile";"Aviation"
"- United States -";"275 - 285 kHz";"Aeronautical Radionavigation/Aeronautical Mobile/Maritime radionavigation (radiobeacons)";"Aviation"
"- United States -";"285 - 325 kHz";"Maritime Radionavigation (radiobeacons)/Aeronautical Radionavigation (radiobeacons)";""
"- United States -";"325 - 335 kHz";"Aeronautical Radionagivation (radiobeacons)/Aeronautical Mobile/Maritime Radionavigation (radiobeacons)";"Aviation"
"- United States -";"335 - 405 kHz";"Aeronautical Radionavigation (radiobeacons)/Aeronautical Mobile";"Aviation"
"- United States -";"405 - 415 kHz";"Radionavigation/Aeronautical Mobile";"Maritime/Aviation"
"- United States -";"415 - 435 kHz";"Maritime Mobile/Aeronautical Radionavigation";"Maritime/Aviation"
